Ano:1892,Media:190130.5
Ano:1893,Media:629295.5
Ano:1894,Media:366917.5
Ano:1895,Media:452051.0
Ano:1896,Media:388161.75
Ano:1897,Media:691551.5
Ano:1898,Media:454077.75
Ano:1899,Media:450691.5
Ano:1900,Media:609023.25
Ano:1901,Media:187883.75
Ano:1902,Media:630938.25
Ano:1903,Media:350971.75
Ano:1904,Media:621926.25
Ano:1905,Media:636898.25
Ano:1906,Media:622577.75
Ano:1907,Media:475485.5
Ano:1908,Media:377474.0
Ano:1909,Media:578387.75
Ano:1910,Media:345400.5
Ano:1911,Media:694070.75
Ano:1912,Media:515547.5
Ano:1913,Media:721350.25
Ano:1914,Media:487258.25
Ano:1915,Media:517274.5
Ano:1916,Media:463199.0
Ano:1917,Media:538404.75
Ano:1918,Media:591427.0
Ano:1919,Media:329589.25
Ano:1920,Media:366288.5
Ano:1921,Media:502440.0
Ano:1922,Media:359714.5
Ano:1923,Media:715467.5
Ano:1924,Media:191483.25
Ano:1925,Media:451752.75
Ano:1926,Media:523009.25
Ano:1927,Media:238864.5
Ano:1927,Media:602637.0
Ano:1928,Media:370506.0
Ano:1928,Media:556476.0
Ano:1929,Media:298165.0
Ano:1929,Media:407397.25
Ano:1930,Media:412201.75
Ano:1930,Media:475410.0
Ano:1931,Media:225060.0
Ano:1931,Media:507630.5
Ano:1932,Media:454987.5
Ano:1932,Media:621684.0
Ano:1933,Media:347543.75
Ano:1933,Media:469847.5
Ano:1934,Media:223597.5
Ano:1934,Media:275039.75
Ano:1935,Media:264128.0
Ano:1936,Media:401404.75
Ano:1937,Media:486445.25
Ano:1938,Media:298816.5
Ano:1939,Media:645554.0
Ano:1940,Media:559293.75
Ano:1941,Media:468186.5
Ano:1942,Media:742785.0
Ano:1943,Media:632078.0
Ano:1944,Media:596977.25
Ano:1945,Media:546323.5
Ano:1946,Media:466979.25
Ano:1947,Media:599689.5
Ano:1948,Media:648694.5
Ano:1949,Media:416815.75
Ano:1950,Media:461103.0
Ano:1951,Media:485266.5
Ano:1952,Media:488516.75
Ano:1953,Media:412307.0
Ano:1954,Media:511446.5
Ano:1955,Media:331645.75
Ano:1956,Media:577541.75
Ano:1957,Media:687245.25
Ano:1958,Media:445108.75
Ano:1959,Media:465526.75
Ano:1960,Media:411688.75
Ano:1961,Media:272302.25
Ano:1962,Media:459384.5
Ano:1963,Media:655029.5
Ano:1964,Media:363494.0
Ano:1965,Media:636338.0
Ano:1966,Media:505424.0
Ano:1967,Media:420798.25
Ano:1968,Media:423561.0
Ano:1969,Media:424224.75
Ano:1970,Media:389013.25
Ano:1971,Media:378512.5
Ano:1972,Media:470059.25
Ano:1973,Media:466494.75
Ano:1974,Media:602766.75
Ano:1975,Media:476560.25
Ano:1976,Media:530738.0
Ano:1977,Media:403793.25
Ano:1978,Media:610360.0
Ano:1979,Media:606589.5
Ano:1980,Media:478452.25
Ano:1981,Media:340310.25
Ano:1982,Media:667181.5
Ano:1983,Media:600612.5
Ano:1984,Media:446390.25
Ano:1985,Media:497910.25
Ano:1986,Media:473071.75
Ano:1987,Media:496566.0
Ano:1988,Media:554255.75
Ano:1989,Media:479854.0
Ano:1990,Media:405983.75
Ano:1991,Media:725295.75
Ano:1992,Media:436210.25
Ano:1993,Media:396295.25
Ano:1994,Media:575417.75
Ano:1995,Media:667332.75
Ano:1996,Media:451122.0
Ano:1997,Media:389073.75
Ano:1998,Media:494112.25
Ano:1999,Media:432759.25
Ano:2000,Media:565690.5
Ano:2001,Media:532712.25
Ano:2002,Media:821460.0
Ano:2003,Media:625116.0
Ano:2004,Media:530316.5
Ano:2005,Media:791917.25
Ano:2006,Media:543395.0
Ano:2007,Media:301744.0
Ano:2008,Media:406876.5
Ano:2009,Media:678005.5
Ano:2010,Media:800157.25
Ano:2011,Media:455653.0
Ano:2012,Media:576691.75
Ano:2013,Media:680242.75
Ano:2014,Media:766173.25
Ano:2015,Media:786895.5
Ano:2016,Media:316629.75
Ano:2017,Media:593376.0
Ano:2018,Media:501867.5
Ano:2019,Media:739708.0
Ano:2020,Media:518793.0
Ano:2021,Media:208251.75
Ano:2022,Media:548531.0
